data,valor
31.12.2022,"1.195,67"
30.12.2022,"1.199,80"
29.12.2022,"1.200,84"
28.12.2022,"1.189,98"
27.12.2022,"1.211,60"
26.12.2022,"1.227,65"
25.12.2022,"1.218,69"
24.12.2022,"1.220,46"
23.12.2022,"1.220,03"
22.12.2022,"1.217,57"
21.12.2022,"1.213,85"
20.12.2022,"1.217,20"
19.12.2022,"1.167,80"
18.12.2022,"1.182,70"
17.12.2022,"1.187,18"
16.12.2022,"1.166,70"
15.12.2022,"1.266,32"
14.12.2022,"1.307,30"
13.12.2022,"1.320,76"
12.12.2022,"1.275,02"
11.12.2022,"1.263,42"
10.12.2022,"1.266,62"
09.12.2022,"1.262,86"
08.12.2022,"1.280,29"
07.12.2022,"1.231,04"
06.12.2022,"1.271,26"
05.12.2022,"1.259,56"
04.12.2022,"1.279,74"
03.12.2022,"1.240,46"
02.12.2022,"1.295,69"
01.12.2022,"1.276,05"
30.11.2022,"1.294,41"
29.11.2022,"1.216,55"
28.11.2022,"1.167,73"
27.11.2022,"1.193,38"
26.11.2022,"1.205,15"
25.11.2022,"1.198,12"
24.11.2022,"1.203,77"
23.11.2022,"1.185,79"
22.11.2022,"1.139,74"
21.11.2022,"1.107,46"
20.11.2022,"1.142,88"
19.11.2022,"1.217,65"
18.11.2022,"1.207,31"
17.11.2022,"1.205,17"
16.11.2022,"1.206,16"
15.11.2022,"1.253,45"
14.11.2022,"1.242,64"
13.11.2022,"1.221,47"
12.11.2022,"1.256,29"
11.11.2022,"1.288,63"
10.11.2022,"1.299,15"
09.11.2022,"1.100,84"
08.11.2022,"1.335,25"
07.11.2022,"1.567,57"
06.11.2022,"1.570,86"
05.11.2022,"1.627,07"
04.11.2022,"1.645,01"
03.11.2022,"1.531,08"
02.11.2022,"1.519,04"
01.11.2022,"1.579,64"
31.10.2022,"1.572,89"
30.10.2022,"1.590,47"
29.10.2022,"1.619,69"
28.10.2022,"1.554,47"
27.10.2022,"1.514,19"
26.10.2022,"1.566,16"
25.10.2022,"1.459,60"
24.10.2022,"1.343,88"
23.10.2022,"1.363,92"
22.10.2022,"1.313,64"
21.10.2022,"1.299,76"
20.10.2022,"1.282,87"
19.10.2022,"1.285,32"
18.10.2022,"1.310,81"
17.10.2022,"1.331,12"
16.10.2022,"1.305,95"
15.10.2022,"1.274,57"
14.10.2022,"1.296,74"
13.10.2022,"1.287,34"
12.10.2022,"1.294,57"
11.10.2022,"1.279,97"
10.10.2022,"1.290,04"
09.10.2022,"1.323,41"
08.10.2022,"1.315,05"
07.10.2022,"1.330,99"
06.10.2022,"1.352,27"
05.10.2022,"1.352,07"
04.10.2022,"1.361,48"
03.10.2022,"1.323,41"
02.10.2022,"1.275,74"
01.10.2022,"1.311,80"
30.09.2022,"1.328,73"
29.09.2022,"1.336,08"
28.09.2022,"1.337,37"
27.09.2022,"1.328,23"
26.09.2022,"1.337,06"
25.09.2022,"1.294,26"
24.09.2022,"1.317,00"
23.09.2022,"1.327,96"
22.09.2022,"1.326,44"
21.09.2022,"1.247,74"
20.09.2022,"1.323,33"
19.09.2022,"1.376,00"
18.09.2022,"1.335,01"
17.09.2022,"1.468,79"
16.09.2022,"1.434,01"
15.09.2022,"1.472,64"
14.09.2022,"1.637,92"
13.09.2022,"1.574,47"
12.09.2022,"1.716,42"
11.09.2022,"1.766,93"
10.09.2022,"1.774,38"
09.09.2022,"1.718,81"
08.09.2022,"1.634,85"
07.09.2022,"1.629,51"
06.09.2022,"1.557,85"
05.09.2022,"1.617,07"
04.09.2022,"1.578,89"
03.09.2022,"1.557,55"
02.09.2022,"1.575,34"
01.09.2022,"1.585,48"
31.08.2022,"1.555,12"
30.08.2022,"1.523,34"
29.08.2022,"1.552,60"
28.08.2022,"1.426,25"
27.08.2022,"1.490,83"
26.08.2022,"1.508,08"
25.08.2022,"1.695,37"
24.08.2022,"1.656,64"
23.08.2022,"1.664,89"
22.08.2022,"1.626,75"
21.08.2022,"1.618,25"
20.08.2022,"1.575,60"
19.08.2022,"1.609,48"
18.08.2022,"1.846,51"
17.08.2022,"1.834,18"
16.08.2022,"1.876,70"
15.08.2022,"1.900,25"
14.08.2022,"1.935,10"
13.08.2022,"1.983,50"
12.08.2022,"1.957,63"
11.08.2022,"1.880,28"
10.08.2022,"1.853,46"
09.08.2022,"1.702,80"
08.08.2022,"1.778,42"
07.08.2022,"1.700,29"
06.08.2022,"1.690,27"
05.08.2022,"1.737,71"
04.08.2022,"1.606,94"
03.08.2022,"1.618,08"
02.08.2022,"1.631,48"
01.08.2022,"1.630,10"
31.07.2022,"1.680,00"
30.07.2022,"1.695,97"
29.07.2022,"1.720,77"
28.07.2022,"1.726,01"
27.07.2022,"1.636,01"
26.07.2022,"1.450,70"
25.07.2022,"1.438,52"
24.07.2022,"1.598,19"
23.07.2022,"1.549,61"
22.07.2022,"1.534,85"
21.07.2022,"1.575,68"
20.07.2022,"1.520,64"
19.07.2022,"1.543,50"
18.07.2022,"1.584,77"
17.07.2022,"1.337,85"
16.07.2022,"1.356,08"
15.07.2022,"1.231,03"
14.07.2022,"1.192,75"
13.07.2022,"1.115,83"
12.07.2022,"1.038,56"
11.07.2022,"1.096,43"
10.07.2022,"1.167,35"
09.07.2022,"1.216,94"
08.07.2022,"1.216,33"
07.07.2022,"1.238,15"
06.07.2022,"1.186,45"
05.07.2022,"1.133,90"
04.07.2022,"1.151,19"
03.07.2022,"1.074,08"
02.07.2022,"1.066,60"
01.07.2022,"1.058,94"
30.06.2022,"1.069,05"
29.06.2022,"1.099,51"
28.06.2022,"1.143,97"
27.06.2022,"1.190,84"
26.06.2022,"1.198,03"
25.06.2022,"1.241,76"
24.06.2022,"1.225,03"
23.06.2022,"1.144,19"
22.06.2022,"1.049,02"
21.06.2022,"1.125,96"
20.06.2022,"1.128,32"
19.06.2022,"1.128,39"
18.06.2022,"995,61"
17.06.2022,"1.086,47"
16.06.2022,"1.068,49"
15.06.2022,"1.237,92"
14.06.2022,"1.210,84"
13.06.2022,"1.206,67"
12.06.2022,"1.435,46"
11.06.2022,"1.531,42"
10.06.2022,"1.663,02"
09.06.2022,"1.788,06"
08.06.2022,"1.793,00"
07.06.2022,"1.813,72"
06.06.2022,"1.859,99"
05.06.2022,"1.806,71"
04.06.2022,"1.804,37"
03.06.2022,"1.775,29"
02.06.2022,"1.834,64"
01.06.2022,"1.818,07"
31.05.2022,"1.941,79"
30.05.2022,"1.998,46"
29.05.2022,"1.813,56"
28.05.2022,"1.792,68"
27.05.2022,"1.724,30"
26.05.2022,"1.793,42"
25.05.2022,"1.942,91"
24.05.2022,"1.979,35"
23.05.2022,"1.972,93"
22.05.2022,"2.043,19"
21.05.2022,"1.975,12"
20.05.2022,"1.959,85"
