data,valor
2022-12-31,"1,195.67"
2022-12-30,"1,199.80"
2022-12-29,"1,200.84"
2022-12-28,"1,189.98"
2022-12-27,"1,211.60"
2022-12-26,"1,227.65"
2022-12-25,"1,218.69"
2022-12-24,"1,220.46"
2022-12-23,"1,220.03"
2022-12-22,"1,217.57"
2022-12-21,"1,213.85"
2022-12-20,"1,217.20"
2022-12-19,"1,167.80"
2022-12-18,"1,182.70"
2022-12-17,"1,187.18"
2022-12-16,"1,166.70"
2022-12-15,"1,266.32"
2022-12-14,"1,307.30"
2022-12-13,"1,320.76"
2022-12-12,"1,275.02"
2022-12-11,"1,263.42"
2022-12-10,"1,266.62"
2022-12-09,"1,262.86"
2022-12-08,"1,280.29"
2022-12-07,"1,231.04"
2022-12-06,"1,271.26"
2022-12-05,"1,259.56"
2022-12-04,"1,279.74"
2022-12-03,"1,240.46"
2022-12-02,"1,295.69"
2022-12-01,"1,276.05"
2022-11-30,"1,294.41"
2022-11-29,"1,216.55"
2022-11-28,"1,167.73"
2022-11-27,"1,193.38"
2022-11-26,"1,205.15"
2022-11-25,"1,198.12"
2022-11-24,"1,203.77"
2022-11-23,"1,185.79"
2022-11-22,"1,139.74"
2022-11-21,"1,107.46"
2022-11-20,"1,142.88"
2022-11-19,"1,217.65"
2022-11-18,"1,207.31"
2022-11-17,"1,205.17"
2022-11-16,"1,206.16"
2022-11-15,"1,253.45"
2022-11-14,"1,242.64"
2022-11-13,"1,221.47"
2022-11-12,"1,256.29"
2022-11-11,"1,288.63"
2022-11-10,"1,299.15"
2022-11-09,"1,100.84"
2022-11-08,"1,335.25"
2022-11-07,"1,567.57"
2022-11-06,"1,570.86"
2022-11-05,"1,627.07"
2022-11-04,"1,645.01"
2022-11-03,"1,531.08"
2022-11-02,"1,519.04"
2022-11-01,"1,579.64"
2022-10-31,"1,572.89"
2022-10-30,"1,590.47"
2022-10-29,"1,619.69"
2022-10-28,"1,554.47"
2022-10-27,"1,514.19"
2022-10-26,"1,566.16"
2022-10-25,"1,459.60"
2022-10-24,"1,343.88"
2022-10-23,"1,363.92"
2022-10-22,"1,313.64"
2022-10-21,"1,299.76"
2022-10-20,"1,282.87"
2022-10-19,"1,285.32"
2022-10-18,"1,310.81"
2022-10-17,"1,331.12"
2022-10-16,"1,305.95"
2022-10-15,"1,274.57"
2022-10-14,"1,296.74"
2022-10-13,"1,287.34"
2022-10-12,"1,294.57"
2022-10-11,"1,279.97"
2022-10-10,"1,290.04"
2022-10-09,"1,323.41"
2022-10-08,"1,315.05"
2022-10-07,"1,330.99"
2022-10-06,"1,352.27"
2022-10-05,"1,352.07"
2022-10-04,"1,361.48"
2022-10-03,"1,323.41"
2022-10-02,"1,275.74"
2022-10-01,"1,311.80"
2022-09-30,"1,328.73"
2022-09-29,"1,336.08"
2022-09-28,"1,337.37"
2022-09-27,"1,328.23"
2022-09-26,"1,337.06"
2022-09-25,"1,294.26"
2022-09-24,"1,317.00"
2022-09-23,"1,327.96"
2022-09-22,"1,326.44"
2022-09-21,"1,247.74"
2022-09-20,"1,323.33"
2022-09-19,"1,376.00"
2022-09-18,"1,335.01"
2022-09-17,"1,468.79"
2022-09-16,"1,434.01"
2022-09-15,"1,472.64"
2022-09-14,"1,637.92"
2022-09-13,"1,574.47"
2022-09-12,"1,716.42"
2022-09-11,"1,766.93"
2022-09-10,"1,774.38"
2022-09-09,"1,718.81"
2022-09-08,"1,634.85"
2022-09-07,"1,629.51"
2022-09-06,"1,557.85"
2022-09-05,"1,617.07"
2022-09-04,"1,578.89"
2022-09-03,"1,557.55"
2022-09-02,"1,575.34"
2022-09-01,"1,585.48"
2022-08-31,"1,555.12"
2022-08-30,"1,523.34"
2022-08-29,"1,552.60"
2022-08-28,"1,426.25"
2022-08-27,"1,490.83"
2022-08-26,"1,508.08"
2022-08-25,"1,695.37"
2022-08-24,"1,656.64"
2022-08-23,"1,664.89"
2022-08-22,"1,626.75"
2022-08-21,"1,618.25"
2022-08-20,"1,575.60"
2022-08-19,"1,609.48"
2022-08-18,"1,846.51"
2022-08-17,"1,834.18"
2022-08-16,"1,876.70"
2022-08-15,"1,900.25"
2022-08-14,"1,935.10"
2022-08-13,"1,983.50"
2022-08-12,"1,957.63"
2022-08-11,"1,880.28"
2022-08-10,"1,853.46"
2022-08-09,"1,702.80"
2022-08-08,"1,778.42"
2022-08-07,"1,700.29"
2022-08-06,"1,690.27"
2022-08-05,"1,737.71"
2022-08-04,"1,606.94"
2022-08-03,"1,618.08"
2022-08-02,"1,631.48"
2022-08-01,"1,630.10"
2022-07-31,"1,680.00"
2022-07-30,"1,695.97"
2022-07-29,"1,720.77"
2022-07-28,"1,726.01"
2022-07-27,"1,636.01"
2022-07-26,"1,450.70"
2022-07-25,"1,438.52"
2022-07-24,"1,598.19"
2022-07-23,"1,549.61"
2022-07-22,"1,534.85"
2022-07-21,"1,575.68"
2022-07-20,"1,520.64"
2022-07-19,"1,543.50"
2022-07-18,"1,584.77"
2022-07-17,"1,337.85"
2022-07-16,"1,356.08"
2022-07-15,"1,231.03"
2022-07-14,"1,192.75"
2022-07-13,"1,115.83"
2022-07-12,"1,038.56"
2022-07-11,"1,096.43"
2022-07-10,"1,167.35"
2022-07-09,"1,216.94"
2022-07-08,"1,216.33"
2022-07-07,"1,238.15"
2022-07-06,"1,186.45"
2022-07-05,"1,133.90"
2022-07-04,"1,151.19"
2022-07-03,"1,074.08"
2022-07-02,"1,066.60"
2022-07-01,"1,058.94"
2022-06-30,"1,069.05"
2022-06-29,"1,099.51"
2022-06-28,"1,143.97"
2022-06-27,"1,190.84"
2022-06-26,"1,198.03"
2022-06-25,"1,241.76"
2022-06-24,"1,225.03"
2022-06-23,"1,144.19"
2022-06-22,"1,049.02"
2022-06-21,"1,125.96"
2022-06-20,"1,128.32"
2022-06-19,"1,128.39"
2022-06-18,995.61
2022-06-17,"1,086.47"
2022-06-16,"1,068.49"
2022-06-15,"1,237.92"
2022-06-14,"1,210.84"
2022-06-13,"1,206.67"
2022-06-12,"1,435.46"
2022-06-11,"1,531.42"
2022-06-10,"1,663.02"
2022-06-09,"1,788.06"
2022-06-08,"1,793.00"
2022-06-07,"1,813.72"
2022-06-06,"1,859.99"
2022-06-05,"1,806.71"
2022-06-04,"1,804.37"
2022-06-03,"1,775.29"
2022-06-02,"1,834.64"
2022-06-01,"1,818.07"
2022-05-31,"1,941.79"
2022-05-30,"1,998.46"
2022-05-29,"1,813.56"
2022-05-28,"1,792.68"
2022-05-27,"1,724.30"
2022-05-26,"1,793.42"
2022-05-25,"1,942.91"
2022-05-24,"1,979.35"
2022-05-23,"1,972.93"
2022-05-22,"2,043.19"
2022-05-21,"1,975.12"
2022-05-20,"1,959.85"
2022-05-19,"2,019.34"
2022-05-18,"1,912.12"
2022-05-17,"2,091.14"
2022-05-16,"2,022.93"
2022-05-15,"2,145.86"
2022-05-14,"2,056.30"
2022-05-13,"2,009.53"
2022-05-12,"1,955.36"
2022-05-11,"2,080.79"
2022-05-10,"2,342.30"
2022-05-09,"2,229.10"
2022-05-08,"2,519.98"
2022-05-07,"2,636.03"
2022-05-06,"2,692.88"
2022-05-05,"2,747.46"
2022-05-04,"2,940.70"
2022-05-03,"2,781.47"
2022-05-02,"2,856.01"
2022-05-01,"2,825.80"
2022-04-30,"2,727.18"
2022-04-29,"2,816.66"
2022-04-28,"2,937.01"
2022-04-27,"2,888.99"
2022-04-26,"2,810.42"
2022-04-25,"3,006.04"
2022-04-24,"2,922.03"
2022-04-23,"2,931.90"
2022-04-22,"2,963.00"
2022-04-21,"2,983.95"
2022-04-20,"3,076.38"
2022-04-19,"3,102.01"
2022-04-18,"3,055.64"
2022-04-17,"2,989.05"
2022-04-16,"3,058.96"
2022-04-15,"3,042.01"
2022-04-14,"3,021.93"
2022-04-13,"3,116.92"
2022-04-12,"3,027.25"
2022-04-11,"2,978.29"
2022-04-10,"3,201.84"
2022-04-09,"3,259.35"
2022-04-08,"3,193.93"
2022-04-07,"3,228.84"
2022-04-06,"3,169.58"
2022-04-05,"3,406.78"
2022-04-04,"3,520.41"
2022-04-03,"3,521.10"
2022-04-02,"3,442.34"
2022-04-01,"3,456.18"
2022-03-31,"3,282.35"
2022-03-30,"3,385.64"
2022-03-29,"3,401.89"
2022-03-28,"3,329.38"
2022-03-27,"3,297.04"
2022-03-26,"3,146.01"
2022-03-25,"3,103.51"
2022-03-24,"3,109.25"
2022-03-23,"3,036.12"
2022-03-22,"2,969.64"
2022-03-21,"2,891.63"
