data,UTC,TEMP_MAX ,TEMP_MIN,temp
2021/01/01,0000 UTC,20.8,20.2,
2021/01/01,0100 UTC,20.8,20.4,
2021/01/01,0200 UTC,20.4,20.3,
2021/01/01,0300 UTC,21,20.4,
2021/01/01,0400 UTC,21.2,20.9,
2021/01/01,0500 UTC,21.1,20.7,
2021/01/01,0600 UTC,20.8,20.3,
2021/01/01,0700 UTC,20.3,20.2,
2021/01/01,0800 UTC,20.3,20.2,
2021/01/01,0900 UTC,20.4,20.2,
2021-01-01,1000 UTC,20.9,20.4,20.65
2021/01/01,1100 UTC,21.4,20.9,
2021/01/01,1200 UTC,21.8,21.3,
2021/01/01,1300 UTC,22.2,21.4,
2021/01/01,1400 UTC,24.5,22.1,
2021/01/01,1500 UTC,25.3,23.2,
2021/01/01,1600 UTC,25.4,24.2,
2021/01/01,1700 UTC,27.2,25,
2021/01/01,1800 UTC,26.6,21.3,
2021/01/01,1900 UTC,21.2,18.2,
2021/01/01,2000 UTC,19.9,18.3,
2021/01/01,2100 UTC,20.7,19.8,
2021/01/01,2200 UTC,21,20.5,
2021/01/01,2300 UTC,20.9,20.5,
2021/01/02,0000 UTC,21.1,20.5,
2021/01/02,0100 UTC,21,20.6,
2021/01/02,0200 UTC,20.6,20.2,
2021/01/02,0300 UTC,20.5,20.2,
2021/01/02,0400 UTC,20.2,19.8,
2021/01/02,0500 UTC,19.8,19.7,
2021/01/02,0600 UTC,19.8,19.6,
2021/01/02,0700 UTC,19.7,19.5,
2021/01/02,0800 UTC,19.7,19.6,
2021/01/02,0900 UTC,19.7,19.4,
2021-01-02,1000 UTC,19.9,19.4,19.65
2021/01/02,1100 UTC,20.6,19.8,
2021/01/02,1200 UTC,21.7,20.4,
2021/01/02,1300 UTC,24.3,21.5,
2021/01/02,1400 UTC,24.4,22.4,
2021/01/02,1500 UTC,24.3,22.4,
2021/01/02,1600 UTC,25.2,22.6,
2021/01/02,1700 UTC,24.8,23.1,
2021/01/02,1800 UTC,24,22.8,
2021/01/02,1900 UTC,23.3,22.8,
2021/01/02,2000 UTC,23.2,22.4,
2021/01/02,2100 UTC,22.7,21.2,
2021/01/02,2200 UTC,21.4,20.7,
2021/01/02,2300 UTC,20.7,20.4,
2021/01/03,0000 UTC,20.4,19.8,
2021/01/03,0100 UTC,19.8,19.2,
2021/01/03,0200 UTC,19.5,19.2,
2021/01/03,0300 UTC,19.4,19.1,
2021/01/03,0400 UTC,19.4,18.8,
2021/01/03,0500 UTC,18.9,18.2,
2021/01/03,0600 UTC,18.2,18.1,
2021/01/03,0700 UTC,18.2,18.1,
2021/01/03,0800 UTC,18.1,17.9,
2021/01/03,0900 UTC,18.1,17.8,
2021-01-03,1000 UTC,19.2,18.1,18.65
2021/01/03,1100 UTC,21.3,18.8,
2021/01/03,1200 UTC,23.1,20.8,
2021/01/03,1300 UTC,23.9,21.4,
2021/01/03,1400 UTC,25.7,23.1,
2021/01/03,1500 UTC,26.6,24.6,
2021/01/03,1600 UTC,26.8,25.1,
2021/01/03,1700 UTC,26.6,25.1,
